ISIN,Ticker,Name,Mkt Cap,% Women on Bd,UN Glob Comp Sign,GHG Scp 1 Est,ESG Scr,GICS Ind Name,GICS Sector,Curncy
NL0009434992,LYB UN,LYONDELLBASELL INDU-CL A,32614575570,36.36360168,,14495.893,6.449999809,Chemicals,Materials,USD
US0258161092,AXP UN,AMERICAN EXPRESS CO,1.71647E+11,28.57139969,,25.789,4.170000076,Consumer Finance,Financials,USD
US92343V1044,VZ UN,VERIZON COMMUNICATIONS INC,1.6735E+11,33.33330154,,304.184,5.239999771,Diversified Telecommunication,Communication Services,USD
US11135F1012,AVGO UW,BROADCOM INC,5.82247E+11,33.33330154,,118.19,4.730000019,Semiconductors & Semiconductor,Information Technology,USD
US0970231058,BA UN,BOEING CO/THE,1.03186E+11,30.76919937,,685.716,4.539999962,Aerospace & Defense,Industrials,USD
US83444M1018,SOLV UN,SOLVENTUM CORP,10925582411,,,143.559,#N/A Field Not Applicable,Health Care Equipment & Suppli,Health Care,USD
US1491231015,CAT UN,CATERPILLAR INC,1.81539E+11,,,662.499,4.610000134,Machinery,Industrials,USD
US46625H1005,JPM UN,JPMORGAN CHASE & CO,5.50838E+11,45.45449829,,116.707,4.269999981,Banks,Financials,USD
US1667641005,CVX UN,CHEVRON CORP,2.9982E+11,50,,51635.677,5.440000057,"Oil, Gas & Consumable Fuels",Energy,USD
US1912161007,KO UN,COCA-COLA CO/THE,2.61301E+11,50,,610.701,5.260000229,Beverages,Consumer Staples,USD
US00287Y1091,ABBV UN,ABBVIE INC,2.99771E+11,30.76919937,,324.036,4.829999924,Biotechnology,Health Care,USD
US2546871060,DIS UN,WALT DISNEY CO/THE,2.08875E+11,,,910.889,4.300000191,Entertainment,Communication Services,USD
US2199481068,CPAY UN,CORPAY INC,22048276853,,,36.454,2.029999971,Financial Services,Financials,USD
US30225T1025,EXR UN,EXTRA SPACE STORAGE INC,28293645207,30,,20.984,4.809999943,Specialized REITs,Real Estate,USD
US30231G1022,XOM UN,EXXON MOBIL CORP,4.78118E+11,25,,90363.219,5.579999924,"Oil, Gas & Consumable Fuels",Energy,USD
US7185461040,PSX UN,PHILLIPS 66,67403441716,38.46149826,,28404.996,5.019999981,"Oil, Gas & Consumable Fuels",Energy,USD
US3696043013,GE UN,GENERAL ELECTRIC CO,1.77906E+11,33.33330154,,685.623,5.940000057,Aerospace & Defense,Industrials,USD
US40434L1052,HPQ UN,HP INC,27167532767,42.85710144,,47.882,3.940000057,"Technology Hardware, Storage &",Information Technology,USD
US4370761029,HD UN,HOME DEPOT INC,3.36296E+11,30.76919937,,597.173,5.809999943,Specialty Retail,Consumer Discretionary,USD
US6098391054,MPWR UW,MONOLITHIC POWER SYSTEMS INC,29934787370,,,2.927,3.380000114,Semiconductors & Semiconductor,Information Technology,USD
US4592001014,IBM UN,INTL BUSINESS MACHINES CORP,1.67783E+11,21.42860031,,69.668,5.159999847,IT Services,Information Technology,USD
US4781601046,JNJ UN,JOHNSON & JOHNSON,3.60937E+11,46.15380096,,426.466,6.420000076,Pharmaceuticals,Health Care,USD
US5500211090,LULU UW,LULULEMON ATHLETICA INC,46129042685,,,5.138,4.639999866,"Textiles, Apparel & Luxury Goo",Consumer Discretionary,USD
US5801351017,MCD UN,MCDONALD'S CORP,1.99711E+11,33.33330154,,113.28,4.340000153,"Hotels, Restaurants & Leisure",Consumer Discretionary,USD
US58933Y1055,MRK UN,MERCK & CO. INC.,3.21365E+11,46.15380096,,703.273,5.840000153,Pharmaceuticals,Health Care,USD
US88579Y1010,MMM UN,3M CO,51529000252,33.33330154,Y,2170.957,6.190000057,Industrial Conglomerates,Industrials,USD
US0304201033,AWK UN,AMERICAN WATER WORKS CO INC,23370638400,60,,71.318,4.320000172,Water Utilities,Utilities,USD
US0605051046,BAC UN,BANK OF AMERICA CORP,3.01224E+11,38.46149826,Y,83.618,5.260000229,Banks,Financials,USD
US7170811035,PFE UN,PFIZER INC,1.48595E+11,33.33330154,,546.474,5.190000057,Pharmaceuticals,Health Care,USD
US7427181091,PG UN,PROCTER & GAMBLE CO/THE,3.81256E+11,46.15380096,,2152.929,5.159999847,Household Products,Consumer Staples,USD
US00206R1023,T UN,AT&T INC,1.17771E+11,30,,960.015,5.579999924,Diversified Telecommunication,Communication Services,USD
US89417E1091,TRV UN,TRAVELERS COS INC/THE,48901538862,35.71429825,,15.143,2.460000038,Insurance,Financials,USD
US75513E1010,RTX UN,RTX CORP,1.35065E+11,30.76919937,,494.543,4.690000057,Aerospace & Defense,Industrials,USD
US0326541051,ADI UW,ANALOG DEVICES INC,94331648293,33.33330154,,171.939,4.929999828,Semiconductors & Semiconductor,Information Technology,USD
US9311421039,WMT UN,WALMART INC,4.75505E+11,,,8316.419,3.910000086,Consumer Staples Distribution,Consumer Staples,USD
US17275R1023,CSCO UW,CISCO SYSTEMS INC,1.9592E+11,36.36360168,Y,32.054,4.75,Communications Equipment,Information Technology,USD
US4581401001,INTC UW,INTEL CORP,1.46287E+11,41.66669846,,993.955,6.309999943,Semiconductors & Semiconductor,Information Technology,USD
US37045V1008,GM UN,GENERAL MOTORS CO,51765266229,,,1642.258,6.190000057,Automobiles,Consumer Discretionary,USD
US5949181045,MSFT UW,MICROSOFT CORP,3.02664E+12,41.66669846,Y,142.77,5.710000038,Software,Information Technology,USD
US2566771059,DG UN,DOLLAR GENERAL CORP,31336113227,33.33330154,,733.79,2.779999971,Consumer Staples Distribution,Consumer Staples,USD
US1255231003,CI UN,THE CIGNA GROUP,99931816903,33.33330154,,16.272,4.320000172,Health Care Providers & Servic,Health Care,USD
US49456B1017,KMI UN,KINDER MORGAN INC,41646749842,15.38459969,,14736.74,5.949999809,"Oil, Gas & Consumable Fuels",Energy,USD
US1729674242,C UN,CITIGROUP INC,1.19556E+11,53.84619904,,58.037,4.28000021,Banks,Financials,USD
US0268747849,AIG UN,AMERICAN INTERNATIONAL GROUP,50397357387,45.45449829,,10.432,2.799999952,Insurance,Financials,USD
US02209S1033,MO UN,ALTRIA GROUP INC,73720526118,41.66669846,,116.475,4.010000229,Tobacco,Consumer Staples,USD
US40412C1018,HCA UN,HCA HEALTHCARE INC,84377473877,30,,830.463,3.920000076,Health Care Providers & Servic,Health Care,USD
US4601461035,IP UN,INTERNATIONAL PAPER CO,11904464326,27.27269936,,5916.058,5.820000172,Containers & Packaging,Materials,USD
US42824C1099,HPE UN,HEWLETT PACKARD ENTERPRISE,21911500000,46.15380096,,33.541,4.650000095,"Technology Hardware, Storage &",Information Technology,USD
US0028241000,ABT UN,ABBOTT LABORATORIES,1.86619E+11,41.66669846,,518.79,5.349999905,Health Care Equipment & Suppli,Health Care,USD
US0010551028,AFL UN,AFLAC INC,48144396564,45.45449829,,3.216,2.069999933,Insurance,Financials,USD
US0091581068,APD UN,AIR PRODUCTS & CHEMICALS INC,51905072398,25,,15785.341,5.25,Chemicals,Materials,USD
US86800U1043,SMCI UW,SUPER MICRO COMPUTER INC,44849637806,22.22220039,N,4.349,1.690000057,"Technology Hardware, Storage &",Information Technology,USD
LR0008862868,RCL UN,ROYAL CARIBBEAN CRUISES LTD,35390246536,,,6943.67,4.900000095,"Hotels, Restaurants & Leisure",Consumer Discretionary,USD
US42809H1077,HES UN,HESS CORP,48359784881,25,,2375.435,4.769999981,"Oil, Gas & Consumable Fuels",Energy,USD
US0394831020,ADM UN,ARCHER-DANIELS-MIDLAND CO,30988916539,,,13638.733,5.829999924,Food Products,Consumer Staples,USD
US0530151036,ADP UW,AUTOMATIC DATA PROCESSING,1.0163E+11,41.66669846,,13.077,3.359999895,Professional Services,Industrials,USD
US92345Y1064,VRSK UW,VERISK ANALYTICS INC,31979528879,40,,2.267,3.950000048,Professional Services,Industrials,USD
US0533321024,AZO UN,AUTOZONE INC,51362271450,30,,242.251,5.079999924,Specialty Retail,Consumer Discretionary,USD
IE000S9YS762,LIN UW,LINDE PLC,2.14639E+11,,,17377.064,6.260000229,Chemicals,Materials,USD
US0536111091,AVY UN,AVERY DENNISON CORP,16992158413,20,,183.315,4.949999809,Containers & Packaging,Materials,USD
US29355A1079,ENPH UQ,ENPHASE ENERGY INC,15510855268,14.28569984,,0.019,5.28000021,Semiconductors & Semiconductor,Information Technology,USD
US55354G1004,MSCI UN,MSCI INC,35137061843,33.33330154,,0.165,4.650000095,Capital Markets,Financials,USD
US0584981064,BALL UN,BALL CORP,20715706663,45.45449829,Y,446.875,3.75999999,Containers & Packaging,Materials,USD
US05464C1018,AXON UW,AXON ENTERPRISE INC,22746909753,36.36360168,,18.99,3.529999971,Aerospace & Defense,Industrials,USD
US15677J1088,DAY UN,DAYFORCE INC,9219042000,33.33330154,,0.367,5.03000021,Professional Services,Industrials,USD
US14448C1045,CARR UN,CARRIER GLOBAL CORP,49649676902,33.33330154,,187.123,5.579999924,Building Products,Industrials,USD
US0640581007,BK UN,BANK OF NEW YORK MELLON CORP,42924638400,40,,10.485,4.190000057,Capital Markets,Financials,USD
US68902V1070,OTIS UN,OTIS WORLDWIDE CORP,39423787721,45.45449829,,124.874,4.5,Machinery,Industrials,USD
US0718131099,BAX UN,BAXTER INTERNATIONAL INC,20807680000,36.36360168,,338.519,4.840000153,Health Care Equipment & Suppli,Health Care,USD
US0758871091,BDX UN,BECTON DICKINSON AND CO,67753351449,33.33330154,,152.74,4.579999924,Health Care Equipment & Suppli,Health Care,USD
US0846707026,BRK/B UN,BERKSHIRE HATHAWAY INC-CL B,8.81003E+11,28.57139969,N,95037.516,1.24000001,Financial Services,Financials,USD
US0865161014,BBY UN,BEST BUY CO INC,16157912253,,,209.612,6.309999943,Specialty Retail,Consumer Discretionary,USD
US1011371077,BSX UN,BOSTON SCIENTIFIC CORP,1.01166E+11,36.36360168,,66.321,5.46999979,Health Care Equipment & Suppli,Health Care,USD
US1101221083,BMY UN,BRISTOL-MYERS SQUIBB CO,99371979796,33.33330154,,186.191,5.260000229,Pharmaceuticals,Health Care,USD
US1156372096,BF/B UN,BROWN-FORMAN CORP-CLASS B,23604069772,33.33330154,,121.347,5.150000095,Beverages,Consumer Staples,USD
US1270971039,CTRA UN,COTERRA ENERGY INC,21164505211,40,N,1657.181,4.96999979,"Oil, Gas & Consumable Fuels",Energy,USD
US1344291091,CPB UN,CAMPBELL SOUP CO,13417598071,30.76919937,,482.818,6.670000076,Food Products,Consumer Staples,USD
