Ticker,Short Name,GICS Sector,GICS Ind Name,Curr Adj Mkt Cap,Mrkt Cap Sum,Weight,EV,ESG Score,UN Glob Comp Sign,% Women on Bd,GHG Scp 1 Est,GHG Scp 1 2 Watrfll Per Sale,Cntry Terrtry Of Rsk,Clmt Rsk Phys Lvl,Clmt Rsk Phys Cat,Fossl Fl Op Rev Pct,Oil Op Rev Pct,Coal Op Rev Pct,Tgt Temp Rise Scp 1 And 2 ST,Comp Clm Sci Bse Emiss Targts,Comp Clm Net 0 Emiss Tgt,Invt In Sustain Prods
MSFT UW,MICROSOFT CORP,Information Technology,Software,3107149.76,99429445.9,0.0312,3132911.822,5.710000038,Y,41.66669846,132.262,2.656,US,84,High Risk,0,0,0,3.2,#N/A N/A,Y,#N/A N/A
AAPL UW,APPLE INC,Information Technology,"Technology Hardware, Storage &",2937550.089,99429445.9,0.0295,2879803.089,6.010000229,#N/A N/A,33.33330154,58.636,0.163,US,80,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
NVDA UW,NVIDIA CORP,Information Technology,Semiconductors & Semiconductor,2789467.8,99429445.9,0.0281,2767840,6.590000153,#N/A N/A,28.57139969,16.713,3.834,US,91,High Risk,0,0,0,1.51,Y,#N/A N/A,#N/A N/A
GOOG UW,ALPHABET INC-C,Communication Services,Interactive Media & Services,2144490.495,99429445.9,0.0216,2064401.56,4.230000019,#N/A N/A,20,117.076,29.082,US,97,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
GOOGL UW,ALPHABET INC-A,Communication Services,Interactive Media & Services,2144553.57,99429445.9,0.0216,2064583.075,4.230000019,#N/A N/A,20,117.076,29.082,US,97,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
ARAMCO AB,SAUDI ARABIAN OI,Energy,"Oil, Gas & Consumable Fuels",1871067.558,99429445.9,0.0188,7128106,3.400000095,#N/A N/A,9.090909958,55516.82,154.082,SA,82,High Risk,100,100,0,#N/A Field Not Applicable,#N/A N/A,Y,#N/A N/A
AMZN UW,AMAZON.COM INC,Consumer Discretionary,Broadline Retail,1868301.82,99429445.9,0.0188,1936656.621,4.389999866,#N/A N/A,41.66669846,25010.789,92.077,US,81,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
META UW,META PLATFORMS-A,Communication Services,Interactive Media & Services,1188914.7,99429445.9,0.012,1168275.49,4.369999886,#N/A N/A,44.44440079,65.568,32.457,US,#N/A N/A,#N/A N/A,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
BRK/B UN,BERKSHIRE HATH-B,Financials,Financial Services,882619.548,99429445.9,0.0089,440059.548,1.24000001,N,28.57139969,93779.895,235.867,US,63,Moderate Risk,0,0,0,#N/A Field Not Applicable,N,N,#N/A N/A
LLY UN,ELI LILLY & CO,Health Care,Pharmaceuticals,775863.4369,99429445.9,0.0078,799573.7369,5.320000172,#N/A N/A,41.66669846,163.613,16.7,US,86,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
2330 TT,TSMC,Information Technology,Semiconductors & Semiconductor,669817.1452,99429445.9,0.0067,20850363.9,4.75,#N/A N/A,10,1977.998,183.454,TW,80,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
AVGO UW,BROADCOM INC,Information Technology,Semiconductors & Semiconductor,632013.883,99429445.9,0.0064,696050.883,4.730000019,#N/A N/A,33.33330154,118.324,5.954,US,57,Moderate Risk,0,0,0,3.2,Y,#N/A N/A,#N/A N/A
NOVOB DC,NOVO NORDISK-B,Health Care,Pharmaceuticals,595000.2201,99429445.9,0.006,4111583.5,5.610000134,Y,50,75.753,2.983,DK,84,High Risk,0,0,0,3.2,Y,Y,#N/A N/A
JPM UN,JPMORGAN CHASE,Financials,Banks,572466.9917,99429445.9,0.0058,#N/A N/A,4.269999981,#N/A N/A,45.45449829,116.773,5.378,US,84,High Risk,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
TSLA UW,TESLA INC,Consumer Discretionary,Automobiles,572492.6039,99429445.9,0.0058,556183.1441,5.610000134,#N/A N/A,25,190.713,7.572,US,81,High Risk,0,0,0,#N/A Field Not Applicable,Y,#N/A N/A,#N/A N/A
V UN,VISA INC-CLASS A,Financials,Financial Services,556081.8517,99429445.9,0.0056,552420.2006,5.5,#N/A N/A,33.33330154,7.221,0.348,US,#N/A N/A,#N/A N/A,0,0,0,3.2,#N/A N/A,#N/A N/A,#N/A N/A
WMT UN,WALMART INC,Consumer Staples,Consumer Staples Distribution,523289.6809,99429445.9,0.0053,585344.6809,3.910000086,#N/A N/A,27.27269936,8572.909,33.424,US,77,Moderate Risk,0,0,0,1.83,#N/A N/A,#N/A N/A,#N/A N/A
XOM UN,EXXON MOBIL CORP,Energy,"Oil, Gas & Consumable Fuels",510722.8718,99429445.9,0.0051,525510.294,5.579999924,N,25,90363.219,323.089,US,79,Moderate Risk,87.8456,87.8456,0,#N/A Field Not Applicable,N,Y,#N/A N/A
